,Spearman_Vol,Spearman_Price,XGB_Vol,XGB_Price,Spearman_Vol_norm,Spearman_Price_norm,XGB_Vol_norm,XGB_Price_norm,综合重要度得分
OBV,0.0774444836980851,0.7846913221500259,0.008276435,0.00027258092,0.12334555313217367,0.8562796102116832,0.16273873959611218,0.042349357560642974,0.296178315125153
RSI,0.1316436283469158,0.4249737315838643,0.02160545,0.00023291967,0.20966833761948264,0.4637445718575974,0.4248258702456821,0.036187413219300045,0.28360654823551557
法国巴黎CAC40指数,0.5055708196268569,0.1510142184186479,0.0038619016,0.00037797313,0.8052208422935485,0.16479141852828955,0.07593619702543535,0.058723549801964835,0.27616800191230956
深证成份指数,0.1268017339817863,0.7674792245965886,0.0001562832,0.00037096447,0.20195666972325493,0.837497233284664,0.003072981421112728,0.05763465389405985,0.27504038458077285
深市:股票:流通市值,0.4776591796916057,0.0239266188005061,0.01026584,0.00047982295,0.7607660728607613,0.02610947163789814,0.20185621738047266,0.07454738092215889,0.2658197857003227
全国:居民消费价格指数:当期值,0.4157184559683856,0.2690313520709877,0.0,0.00053065154,0.6621133029768211,0.2935753904540103,0.0,0.08244433178802772,0.2595332563047148
KDJ,0.1779641460876215,0.4503603990595057,0.004848868,0.0004439912,0.28344286111388206,0.49144729408352217,0.09534282173277761,0.06898040436058014,0.2348033453226905
深证综合指数,0.1765917954704551,0.4381238078644081,0.005570932,0.00044403036,0.28125712317771634,0.478094344658583,0.10954069621227598,0.06898648842854087,0.23446966311927905
上证综合指数,0.2692847191275148,0.1208109653097831,0.015839059,0.00035599864,0.4288888122789128,0.1318326880451724,0.3114418826521874,0.05530949743827491,0.2318682201036369
道琼斯工业平均指数,0.2294759526743654,0.0429026916291111,0.022990156,0.00019192783,0.3654855318488227,0.04681675332479791,0.4520532101753951,0.02981874262699055,0.2235435594940016
MTM,0.1074897181436273,0.302127316445013,0.013583438,0.0006154501,0.1711984909362238,0.32969073756415956,0.2670898254504427,0.09561900497523258,0.21589951473151467
中证500指数,0.2356974463699692,0.1309084133000752,0.014929874,0.00028700862,0.37539448268106324,0.14285133778067563,0.29356466607769716,0.04459090779856018,0.21410034858449906
标准普尔500指数,0.3545113411774073,0.0464287830136398,0.0030861725,0.0010617536,0.5646289494242861,0.05066453406492663,0.06068311088363317,0.16495865832318674,0.2102338131740082
中国战略性新兴产业采购经理指数(EPMI):当月值,0.249776769779769,0.2930320854553105,0.0,0.00013563497,0.3978185708895751,0.3197657382340935,0.0,0.021072839002293647,0.18466428703149057
上证50指数,0.0908018862759841,0.3392631991805281,0.0081615085,0.00031127635,0.144619840605031,0.37021456941501574,0.16047895096052298,0.04836124790510594,0.18091865222141892
荷兰AEX指数,0.0269457209142151,0.2972249516567105,0.010091479,0.00028995427,0.04291635365103767,0.3243411244213235,0.1984277739293107,0.045048556797244704,0.15268345219972917
金融机构人民币贷款利率区间占比:等于LPR,0.2206756585045985,0.2300837467384359,0.0,0.0,0.3514693346936135,0.25107455047854327,0.0,0.0,0.15063597129303918
上证A股指数,0.2687092883394734,0.1196152957442633,0.0,0.0,0.42797232571394384,0.13052793617573663,0.0,0.0,0.13962506547242012
东京日经225指数,0.0120866528628658,0.2080729612666254,0.010107086,0.00031516497,0.019250368931358956,0.2270556958382068,0.19873465285832742,0.04896540082526436,0.12350152961328939
纳斯达克综合指数,0.0484834452021541,0.0803165401099524,0.00799357,0.00041082062,0.07721941035241218,0.08764391005429291,0.15717679250465866,0.06382687874729104,0.0964667479146637
指数代码_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
指数代码_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中国香港:少于10万元人民币的存款利率:12个月:期内平均数,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
