年月,船型,价格,单位价格
2018-09-01,巴拿马型,44.0,586.6666666666666
2018-10-01,巴拿马型,44.0,586.6666666666666
2018-10-01,灵便型,36.0,1125.0
2018-10-01,阿芙拉型,48.0,436.3636363636364
2018-10-01,苏伊士型,60.5,378.125
2018-10-01,VLCC,92.5,308.3333333333333
2018-11-01,阿芙拉型,48.0,436.3636363636364
2018-11-01,苏伊士型,60.5,378.125
2018-11-01,VLCC,92.5,308.3333333333333
2018-11-01,灵便型,36.5,1140.625
2018-11-01,巴拿马型,44.0,586.6666666666666
2018-12-01,巴拿马型,44.0,586.6666666666666
2018-12-01,灵便型,36.5,1140.625
2018-12-01,VLCC,92.5,308.3333333333333
2018-12-01,阿芙拉型,48.0,436.3636363636364
2018-12-01,苏伊士型,60.5,378.125
2019-01-01,阿芙拉型,48.5,440.90909090909093
2019-01-01,苏伊士型,61.5,384.375
2019-01-01,VLCC,93.0,310.0
2019-01-01,灵便型,36.5,1140.625
2019-01-01,巴拿马型,44.5,593.3333333333334
2019-02-01,巴拿马型,44.5,593.3333333333334
2019-02-01,灵便型,36.5,1140.625
2019-02-01,阿芙拉型,48.5,440.90909090909093
2019-02-01,苏伊士型,61.5,384.375
2019-02-01,VLCC,93.0,310.0
2019-03-01,阿芙拉型,48.5,440.90909090909093
2019-03-01,苏伊士型,61.5,384.375
2019-03-01,VLCC,93.0,310.0
2019-03-01,灵便型,36.5,1140.625
2019-03-01,巴拿马型,44.5,593.3333333333334
2019-04-01,巴拿马型,44.5,593.3333333333334
2019-04-01,灵便型,36.5,1140.625
2019-04-01,VLCC,93.0,310.0
2019-04-01,阿芙拉型,48.5,440.90909090909093
2019-04-01,苏伊士型,61.5,384.375
2019-05-01,阿芙拉型,48.5,440.90909090909093
2019-05-01,苏伊士型,61.5,384.375
2019-05-01,VLCC,93.0,310.0
2019-05-01,灵便型,36.5,1140.625
2019-05-01,巴拿马型,44.5,593.3333333333334
2019-06-01,巴拿马型,44.5,593.3333333333334
2019-06-01,灵便型,36.5,1140.625
2019-06-01,阿芙拉型,48.5,440.90909090909093
2019-06-01,苏伊士型,61.5,384.375
2019-06-01,VLCC,93.0,310.0
2019-07-01,阿芙拉型,48.5,440.90909090909093
2019-07-01,苏伊士型,61.5,384.375
2019-07-01,VLCC,92.5,308.3333333333333
2019-07-01,灵便型,36.5,1140.625
2019-07-01,巴拿马型,44.5,593.3333333333334
2019-08-01,巴拿马型,44.5,593.3333333333334
2019-08-01,灵便型,36.5,1140.625
2019-08-01,VLCC,92.5,308.3333333333333
2019-08-01,阿芙拉型,48.5,440.90909090909093
2019-08-01,苏伊士型,61.5,384.375
2019-09-01,阿芙拉型,48.5,440.90909090909093
2019-09-01,苏伊士型,61.5,384.375
2019-09-01,VLCC,92.5,308.3333333333333
2019-09-01,灵便型,36.5,1140.625
2019-09-01,巴拿马型,44.5,593.3333333333334
2019-10-01,巴拿马型,44.5,593.3333333333334
2019-10-01,灵便型,36.0,1125.0
2019-10-01,阿芙拉型,48.5,440.90909090909093
2019-10-01,苏伊士型,61.5,384.375
2019-10-01,VLCC,92.0,306.6666666666667
2019-11-01,阿芙拉型,48.5,440.90909090909093
2019-11-01,苏伊士型,61.5,384.375
2019-11-01,VLCC,92.0,306.6666666666667
2019-11-01,灵便型,36.0,1125.0
2019-11-01,巴拿马型,44.5,593.3333333333334
2019-12-01,巴拿马型,44.5,593.3333333333334
