年月,船型,船龄,折旧率
2017-01-01,VLCC,5,0.2439
2017-01-01,VLCC,10,0.4878
2017-01-01,VLCC,15,0.6829
2017-02-01,巴拿马型,5,0.3171
2017-02-01,巴拿马型,10,0.5610
2017-02-01,巴拿马型,15,0.7317
2017-02-01,苏伊士型,5,0.2336
2017-02-01,苏伊士型,10,0.4673
2017-02-01,苏伊士型,15,0.6822
2017-02-01,VLCC,5,0.2346
2017-02-01,VLCC,10,0.4815
2017-02-01,VLCC,15,0.6914
2017-02-01,阿芙拉型,5,0.3103
2017-02-01,阿芙拉型,10,0.5632
2017-02-01,阿芙拉型,15,0.7011
2017-03-01,阿芙拉型,5,0.2791
2017-03-01,阿芙拉型,10,0.5581
2017-03-01,阿芙拉型,15,0.7209
2017-03-01,苏伊士型,5,0.2075
2017-03-01,苏伊士型,10,0.4811
2017-03-01,苏伊士型,15,0.7170
2017-03-01,VLCC,5,0.2250
2017-03-01,VLCC,10,0.4750
2017-03-01,VLCC,15,0.6875
2017-03-01,巴拿马型,5,0.3171
2017-03-01,巴拿马型,10,0.5610
2017-03-01,巴拿马型,15,0.7317
2017-04-01,苏伊士型,5,0.2075
2017-04-01,苏伊士型,10,0.4811
2017-04-01,苏伊士型,15,0.7170
2017-04-01,巴拿马型,5,0.3171
2017-04-01,巴拿马型,10,0.5610
2017-04-01,巴拿马型,15,0.7317
2017-04-01,阿芙拉型,5,0.2558
2017-04-01,阿芙拉型,10,0.5581
2017-04-01,阿芙拉型,15,0.7209
2017-04-01,VLCC,5,0.2250
2017-04-01,VLCC,10,0.4750
2017-04-01,VLCC,15,0.7250
2017-05-01,巴拿马型,5,0.3012
2017-05-01,巴拿马型,10,0.5663
2017-05-01,巴拿马型,15,0.7349
2017-05-01,苏伊士型,5,0.1981
2017-05-01,苏伊士型,10,0.4811
2017-05-01,苏伊士型,15,0.7170
2017-05-01,VLCC,5,0.1925
2017-05-01,VLCC,10,0.4783
2017-05-01,VLCC,15,0.7081
2017-05-01,阿芙拉型,5,0.2791
2017-05-01,阿芙拉型,10,0.5349
2017-05-01,阿芙拉型,15,0.7209
2017-06-01,巴拿马型,5,0.3373
2017-06-01,巴拿马型,10,0.5904
2017-06-01,巴拿马型,15,0.7590
2017-06-01,阿芙拉型,5,0.2791
2017-06-01,阿芙拉型,10,0.5349
2017-06-01,阿芙拉型,15,0.7209
2017-06-01,VLCC,5,0.1975
2017-06-01,VLCC,10,0.4938
2017-06-01,VLCC,15,0.7222
2017-06-01,苏伊士型,5,0.1852
2017-06-01,苏伊士型,10,0.4630
2017-06-01,苏伊士型,15,0.7222
2017-07-01,VLCC,5,0.2099
2017-07-01,VLCC,10,0.5062
2017-07-01,VLCC,15,0.7222
2017-07-01,阿芙拉型,5,0.2791
2017-07-01,阿芙拉型,10,0.5349
2017-07-01,阿芙拉型,15,0.7209
2017-07-01,苏伊士型,5,0.2407
2017-07-01,苏伊士型,10,0.5093
2017-07-01,苏伊士型,15,0.7407
