年月,船型,船龄,折旧率
2025-03-01,巴拿马型,15,0.5294
2025-04-01,巴拿马型,5,0.1525
2025-04-01,巴拿马型,10,0.3220
2025-04-01,巴拿马型,15,0.5763
2025-04-01,苏伊士型,5,0.1098
2025-04-01,苏伊士型,10,0.2832
2025-04-01,苏伊士型,15,0.5376
2025-04-01,VLCC,5,0.1040
2025-04-01,VLCC,10,0.3360
2025-04-01,VLCC,15,0.5760
2025-04-01,阿芙拉型,5,0.1379
2025-04-01,阿芙拉型,10,0.3103
2025-04-01,阿芙拉型,15,0.5172
2025-05-01,VLCC,5,0.0800
2025-05-01,VLCC,10,0.3200
2025-05-01,VLCC,15,0.5360
2025-05-01,苏伊士型,5,0.1047
2025-05-01,苏伊士型,10,0.2791
2025-05-01,苏伊士型,15,0.5349
2025-05-01,阿芙拉型,5,0.1379
2025-05-01,阿芙拉型,10,0.3103
2025-05-01,阿芙拉型,15,0.5172
2025-05-01,巴拿马型,5,0.1864
2025-05-01,巴拿马型,10,0.3559
2025-05-01,巴拿马型,15,0.5932
2025-06-01,巴拿马型,5,0.2203
2025-06-01,巴拿马型,10,0.4068
2025-06-01,巴拿马型,15,0.6102
2025-06-01,苏伊士型,5,0.1098
2025-06-01,苏伊士型,10,0.2832
2025-06-01,苏伊士型,15,0.5376
2025-06-01,VLCC,5,0.0714
2025-06-01,VLCC,10,0.3095
2025-06-01,VLCC,15,0.5397
2025-06-01,阿芙拉型,5,0.1319
2025-06-01,阿芙拉型,10,0.3056
2025-06-01,阿芙拉型,15,0.5139
2025-07-01,VLCC,5,0.0714
2025-07-01,VLCC,10,0.3095
2025-07-01,VLCC,15,0.5397
2025-07-01,苏伊士型,5,0.1047
2025-07-01,苏伊士型,10,0.2791
2025-07-01,苏伊士型,15,0.5349
2025-07-01,阿芙拉型,5,0.1319
2025-07-01,阿芙拉型,10,0.3056
2025-07-01,阿芙拉型,15,0.5139
2025-07-01,巴拿马型,5,0.2203
2025-07-01,巴拿马型,10,0.4068
2025-07-01,巴拿马型,15,0.6102
2025-08-01,VLCC,5,0.0714
2025-08-01,VLCC,10,0.3095
2025-08-01,VLCC,15,0.5397
2025-08-01,苏伊士型,5,0.1163
2025-08-01,苏伊士型,10,0.2907
2025-08-01,苏伊士型,15,0.5349
2025-08-01,阿芙拉型,5,0.1319
2025-08-01,阿芙拉型,10,0.3056
2025-08-01,阿芙拉型,15,0.5139
2025-08-01,巴拿马型,5,0.2203
2025-08-01,巴拿马型,10,0.4068
2025-08-01,巴拿马型,15,0.6102
