Name,Vessel type,MMSI,IMO,Beneficial Owner,Registered Owner,Class,Builder,Operator,Technical Manager
Sky Blue,SMALL CLEAN TNKR (Chemical / Product),441595000,9512109,Blue Marine Service Corporation,HSM SHIPPING CO LTD,KRS,Samho Tongyoung,Blue Marine Service Corporation,Korea Tanker Management
Sky Chemi,SMALL CHEMICAL TNKR,440202770,9175896,Jung Woo Shipping,JUNGWOO SHIPPING CO LTD,KRS,Hitachi,Jung Woo Shipping,Jung Woo Shipping
Sky Dragon No 8,SMALL CLEAN TNKR (Bunkering),477996770,9927342,Undisclosed,SKY DRAGON PETROLEUM DEVELOP,CCS,Shanwei Honghaiwan Wancong Ship Repair and Building,Undisclosed,Undisclosed
Sky Dweller,MR2 TNKR (Chemical / Product),538011117,9289506,Econav SA,SKY DWELLER SHIPPING LTD,DNV/IRS,Hanjin Heavy Ind,Econav SA,Econav SA
Sky I,SMALL CLEAN TNKR,373149000,8672952,Thundersea Maritime SA,THUNDERSEA MARITIME SA,,Unknown Yard,Thundersea Maritime SA,Thundersea Maritime SA
Sky Mars,SMALL CLEAN TNKR,,9222663,Undisclosed,KWANG HOON SHIPPING CO LTD,NKK,Shin Kurushima Hashihama,Undisclosed,Safeship
Sky Oceanus,HEAVY LIFT (Semi Submersible),356220000,7716476,Unknown Chinese,PISCES SHIPPING CO LTD,LRS,Verolme Heusden,Unknown Chinese,Unknown Chinese
Sky Rider,MR1 TNKR (Chemical / Product),511100837,9208124,Peninsula Energy FZE,PENINSULA ENERGY FZE,BV,Hyundai Mipo,Peninsula Energy FZE,Peninsula Energy FZE
Sky Royal,SMALL CLEAN TNKR (Chemical / Product),440115000,9230323,Jung Woo Shipping,SAMWON TANKER CO LTD,KRS,INP,Jung Woo Shipping,Jung Woo Shipping
Sky Runner,SMALL CLEAN TNKR (Chemical / Product),441386000,9381354,Blue Marine Service Corporation,ARAKOREA,KRS,21st Century,Blue Marine Service Corporation,Korea Tanker Management
Sky Sino,SUPERSEGREGATOR,538004956,9187681,Sky Sino Shipping,SKY SINO SHIPPING LTD,NKK,Dalian Shipyard,Aurora Tankers Pool,Shanghai Anrita Shipping
Sky Star,SMALL CLEAN TNKR (Chemical / Product),,8418928,Emirates Shipping,EMIRATES SHIPPING CO LLC,withdrawn from LRS,Fukuoka,Emirates Shipping,Emirates Shipping
Sky Tethys,HEAVY LIFT (Semi Submersible),354867000,7716529,Undisclosed,MONOCEROS SHIPPING CO LTD,suspended from LRS,Verolme Heusden,Undisclosed,Undisclosed
Sky Winner,SMALL CLEAN TNKR (Chemical / Product),440325000,9366926,Blue Marine Service Corporation,HSM SHIPPING CO LTD,KRS,STX Offshore,C&S Energy,Korea Tanker Management
Skylight,SMALL CLEAN TNKR (Chemical / Product),511101102,9330020,Sea Force,SEA FORCE INC,DNV,STX Offshore,Sea Force,Red Sea Ship Management
Skylight,MR2 TNKR (Chemical / Product),538010642,9396737,Naftomar Shipping and Trading,SKYLIGHT SHIPPING & TRADING CO,RINA,SPP,Naftomar Shipping and Trading,Naftomar Tankers
Skymir,SMALL CHEMICAL TNKR,440153940,9136515,Sam Won Shipping,SAM WON SHIPPING CO LTD,withdrawn from KRS,Hitachi,Sam Won Shipping,Sam Won Shipping
Skyros,VLCC,,7388853,Aeolos Management,,BV,Eriksbergs,Aeolos Management,Aeolos Management
SL Aremu,MR1 TNKR,657162000,9293947,Sea Transport Group,PRIME FUELS TRADING LTD,LRS,SLS,Sea Transport Group,STS Marine Management
SL Banaba,SMALL CLEAN TNKR,548695200,9607227,SMC Shipping and Lighterage Corp,SMC SHIPPING & LIGHTERAGE CORP,Other,Dansyco,SMC Shipping and Lighterage Corp,SMC Shipping and Lighterage Corp
SL Bignay,SMALL CLEAN TNKR,548653200,9634153,SMC Shipping and Lighterage Corp,SMC SHIPPING & LIGHTERAGE CORP,Other,Dansyco,SMC Shipping and Lighterage Corp,SMC Shipping and Lighterage Corp
Sl Kamagong,SMALL CHEMICAL TNKR,548630200,9252890,SMC Shipping and Lighterage Corp,SMC SHIPPING & LIGHTERAGE CORP,NKK,Asakawa,SMC Shipping and Lighterage Corp,Narra Crewing and Shipmanagement Corp
Sl Malunggay,SMALL CLEAN TNKR,548728200,8912716,SMC Shipping and Lighterage Corp,SMC SHIPPING & LIGHTERAGE CORP,ABS,Keppel Subic,SMC Shipping and Lighterage Corp,SMC Shipping and Lighterage Corp
SL Molave,SMALL CLEAN TNKR (Chemical / Product),548055200,9301706,SMC Shipping and Lighterage Corp,SMC SHIPPING & LIGHTERAGE CORP,NKK,Miura Zosensho,SMC Shipping and Lighterage Corp,Narra Crewing and Shipmanagement Corp
SL Narra,SMALL CLEAN TNKR,548021500,9216755,SMC Shipping and Lighterage Corp,SMC SHIPPING & LIGHTERAGE CORP,withdrawn from NKK,Sasaki,SMC Shipping and Lighterage Corp,Narra Crewing and Shipmanagement Corp
SL Tanglad,SMALL CHEMICAL TNKR,548745200,9607215,SMC Shipping and Lighterage Corp,SMC SHIPPING & LIGHTERAGE CORP,,Dansyco,SMC Shipping and Lighterage Corp,SMC Shipping and Lighterage Corp
Sl Tawa Tawa,SMALL CLEAN TNKR,548417200,8625064,SMC Shipping and Lighterage Corp,SMC SHIPPING & LIGHTERAGE CORP,,Unknown Yard,SMC Shipping and Lighterage Corp,SMC Shipping and Lighterage Corp
SL Tindalo,SMALL CHEMICAL TNKR,548025900,9519509,SMC Shipping and Lighterage Corp,SMC SHIPPING & LIGHTERAGE CORP,LRS,Higaki Zosen Koura,SMC Shipping and Lighterage Corp,SMC Shipping and Lighterage Corp
SL Yakal,SMALL CLEAN TNKR,548059200,9298349,SMC Shipping and Lighterage Corp,SMC SHIPPING & LIGHTERAGE CORP,NKK,Hyundai Samho Heavy Ind,SMC Shipping and Lighterage Corp,Jebsen PTC
Sled,MR2 TNKR,636022975,9284805,Samaria Blue,CAPTIVATE MARINE CORP,RINA,SLS,Lidoil DMCC,Rhine Marine Services
Sletreal,SMALL CLEAN TNKR,,8224420,SMT Shipping,,,Vard Aukra,SMT Shipping,SMT Shipping
Sleza,SMALL CLEAN TNKR,261000420,7704071,Ship Service,SHIPSERVICE SA,PRS,Odratrans Shipyard,Ship Service,Ship Service
SLNC Goodwill,MR2 TNKR (Chemical / Product),367711140,9448334,Norden,NORD GOODWILL LLC,DNV,Guangzhou CSSC Longxue Shipbuilding,Schuyler Line Navigation Company,Schuyler Line Navigation Company
SLNC Pax,SMALL CLEAN TNKR (Chemical / Product),338164000,9383663,Schuyler Line Navigation Company,SCHUYLER LINE NAVIGATION CORP,NKK,Nantong Mingde Heavy Ind,Schuyler Line Navigation Company,Schuyler Line Navigation Company
Slogen,J19 STAINLESS STEEL,257771000,9733375,Tailwind Management,CHEM TANK SHIPPING XII AS,DNV,Kitanihon Zosen,Hansa Tankers Operation,Diamond Ship Management
Sloman Hebe,SMALL CLEAN TNKR (Chemical / Product),305265000,9809784,Sloman Neptun,SLOMAN HEBE SCHIFFFAHRTS,DNV,Jiangxi New Jiangzhou Shipbuilding Heavy Industry,Maersk Intermediate Pool,Sloman Neptun
Sloman Hera,SMALL CLEAN TNKR (Chemical / Product),305850000,9466714,Sloman Neptun,SLOMAN HERA,DNV,Jiangxi New Jiangzhou Shipbuilding Heavy Industry,Maersk Intermediate Pool,Sloman Neptun
Sloman Herakles,SMALL CLEAN TNKR (Chemical / Product),305851000,9466726,Sloman Neptun,SLOMAN HERAKLES,DNV,Jiangxi New Jiangzhou Shipbuilding Heavy Industry,Maersk Intermediate Pool,Sloman Neptun
Sloman Hermes,SMALL CLEAN TNKR (Chemical / Product),304133000,9466738,Sloman Neptun,SLOMAN HERMES,DNV,Jiangxi New Jiangzhou Shipbuilding Heavy Industry,Maersk Intermediate Pool,Sloman Neptun
Sloman Hestia,SMALL CLEAN TNKR (Chemical / Product),304070000,9776133,Sloman Neptun,SLOMAN HESTIA,DNV,Jiangxi New Jiangzhou Shipbuilding Heavy Industry,Maersk Intermediate Pool,Sloman Neptun
