Name,Vessel type,MMSI,IMO,Beneficial Owner,Registered Owner,Class,Builder,Operator,Technical Manager
Aztec,LR1 TNKR,372111000,9265354,FLOPEC,PEGASUS OIL SHIPPING INC,LRS,Koyo Dock,Panamax International Pool,FLOPEC
Azuma Maru No 11,SMALL CLEAN TNKR,431501865,9343807,Azuma Kisen KK,AZUMA KISEN KK,NKK,Shin Kurushima Hashihama,Asahi Tanker Co,Azuma Kisen KK
Azuma Maru No 18,SMALL CLEAN TNKR,431001096,9511129,Azuma Kisen KK,JAPAN RAILWAY/AZUMA KISEN KK,NKK,Shin Kurushima Hashihama,Asahi Tanker Co,Azuma Kisen KK
Azuma Maru No 21,SMALL CLEAN TNKR,431006718,9758088,Asahi Tanker Co,OCHI SHOSEN/ASAHI TANKER,NKK,Shin Kurushima Hashihama,Asahi Tanker Co,Azuma Kisen KK
Azumasan,VLCC,563701000,9397157,MOL,ARIES CARRIERS PTE LTD,NKK,Namura,MOL,MOL
Azure Celeste,AFRAMAX TNKR,677069900,9288722,Undisclosed,UNKNOWN,CCS,Hyundai Samho Heavy Ind,Undisclosed,Undisclosed
Azure Nova,VLCC,636019628,9602631,Zodiac Maritime,LATPER MARINE LTD,LRS,Hyundai Heavy Ind,Zodiac Maritime,Zodiac Maritime
Azuron,SUEZMAX TNKR,750018000,9589750,Haima Shipping Ltd,HAIMA SHIPPING LTD,IRS,Samsung,Haima Shipping Ltd,Bravo Marine
Azuryth,SMALL CLEAN TNKR,576835000,8111518,Rokab Integrated Links,ROKAB INTEGRATED LINKS LTD,Other,Babcock Marine,Rokab Integrated Links,Rokab Integrated Links
Azuryth,SMALL CHEMICAL TNKR,212228000,9431020,Unibaltic SP,UNIBALTIC SHIPPING LTD,BV,Istanbul Tersancilik Ticaret,Unibaltic SP,Unibaltic SP
B Ace,SMALL CLEAN TNKR,538004149,9381641,SK Shipping,ACE MARINE HOLDINGS CO LTD,KRS,Qingdao Hyundai,SK Shipping,Doorae Shipping
B Atlantic,SMALL CLEAN TNKR,538004308,9333125,SK Shipping,ATLANTIC MARINE HOLDINGS,KRS,Sasaki,SK Shipping,Doorae Shipping
B Elephant,VLCC,,8513209,Undisclosed,,withdrawn from NKK,Sasebo,Undisclosed,Undisclosed
B Leza,SMALL CLEAN TNKR (Bunkering),617128000,9823649,ENACOL,ENACOL,BV,Ocean Leader,ENACOL,ENACOL
B Luminosa,LR1 TNKR,621819076,9256016,Expanse Ship Management,VISTA LUMINOSA SHIPPING CORP,withdrawn from LRS,Koyo Dock,Expanse Ship Management,Harbour Ship Management Ltd
B O I Strategy,SMALL CLEAN TNKR,,9481180,Blue Ocean Intertrades,EFFECTIVE MANAGEMENT CO LTD,,Unknown Yard,Blue Ocean Intertrades,Blue Ocean Intertrades
B Ocean,SMALL CLEAN TNKR,538004147,9377834,SK Shipping,OCEAN MARINE HOLDINGS CO LTD,KRS,Qingdao Hyundai,SK Shipping,Doorae Shipping
B Pacific,SMALL CLEAN TNKR (Bunkering),518100282,9697296,SK Shipping,CHUANDONG 1 MARINE HOLDINGS CO,KRS,Chongqing Chuandong,SK Shipping,Doorae Shipping
B Sky,SMALL CLEAN TNKR,352005194,9381627,SK Shipping,SKY MARINE HOLDINGS CO LTD,KRS,Qingdao Hyundai,SK Shipping,Doorae Shipping
B Star,SMALL CLEAN TNKR,256048000,9381639,SK Shipping,STAR MARINE HOLDINGS CO LTD,KRS/RINA,Qingdao Hyundai,SK Shipping,Doorae Shipping
B Sun,SMALL CLEAN TNKR (Bunkering),538006684,9697301,SK Shipping,CHUANDONG 2 MARINE HOLDINGS CO,KRS,Chongqing Chuandong,SK Shipping,Doorae Shipping
B3,SMALL CLEAN TNKR,457414000,7412408,Undisclosed,UNKNOWN,NKK,Tokushima Zosen,Undisclosed,Undisclosed
Ba 31,SMALL CLEAN TNKR,567071100,9005950,Sambath Em,EM S,withdrawn from KRS,Shitanoe Zosen,Sambath Em,Sambath Em
Bab Aden,SMALL CLEAN TNKR,473111193,8322961,Aden Refinery Co,ADEN REFINERY CO,withdrawn from NKK,Higaki Zosen Koura,Aden Refinery Co,Aden Refinery Co
Baba Gurgur,HANDY TNKR (Dirty),,7310832,Iraqi Oil Tankers Company,,,Navantia Carenas,Iraqi Oil Tankers Company,Iraqi Oil Tankers Company
Babek,SMALL CLEAN TNKR,423155100,9284130,Azerbaijan Caspian Shipping,AZERBAIJAN CASPIAN SHIPPING,RMRS,Krasnoye Sormovo,Azerbaijan Caspian Shipping,Azerbaijan Caspian Shipping
Babur Kaptan,SMALL CHEMICAL TNKR,,7368528,Undisclosed,,,Van Der Werf,Undisclosed,Undisclosed
Babylon,VLCC,636019544,9878826,Evalend Shipping,APOGEE SHIPHOLDINGS SA,LRS,Hyundai Samho Heavy Ind,Trafigura Beheer BV,Synergy Navis Marine
Babylon,MR2 TNKR (Chemical / Product),419001604,9379519,Seven Islands Shipping,SEVEN ISLANDS SHIPPING LTD,IRS/LRS,Minami Nippon,Seven Islands Shipping,Seven Islands Shipping
Bacchus,SMALL CLEAN TNKR (Inland),253242279,8536184,Alcina,ALCINA SA,,Unknown Yard,Stolt Tankers,Alcina
Bacchus,SMALL CLEAN TNKR,269057644,9822384,Wijgula,CHEMCONTRANS AG,LRS,Concordia Damen,Wijgula,Wijgula
Bade,SMALL CLEAN TNKR,657551000,8420232,Triber Energy,TRIBER ENERGY LTD,IS,Samsung,Triber Energy,Triber Energy
Bader III,LIVESTOCK,511100832,7504598,Hijazi & Ghosheh Co,HIJAZI & GHOSHEH CO,BV,Chantiers de l'Atlantique,Hijazi & Ghosheh Co,Arab Ship Management
Badlands Trader,MR2 TNKR (Chemical / Product),338086000,9700483,US Marine Management,US MARINE MANAGEMENT LLC,withdrawn from ABS,Samsung,Military Sealift Command,US Marine Management
Bado De 116,SMALL CLEAN TNKR,413465160,1026738,Shenzhen Baode Ocean Shipping,SHENZHEN BAODE OCEAN SHPG CO,,Unknown Yard,Shenzhen Baode Ocean Shipping,Shenzhen Baode Ocean Shipping
Badraini,AFRAMAX TNKR,525007036,8821905,BLT,PEARL MARITIME PT,withdrawn from DNV,3 Maj Brodogradiliste,BLT,BLT
Baghdad,SMALL CLEAN TNKR,425000004,9345221,Iraqi Oil Tankers Company,IRAQI OIL TANKERS COMAI,BV,21st Century,Iraqi Oil Tankers Company,Iraqi Oil Tankers Company
Baghdad,VLCC,636020128,9876414,Shoei Kisen,LUSTER MARITIME/HIGAKI SANGYO,NKK,Imabari,VS Tankers,Navios Tankers Management
Bagheera,MR1 TNKR (Chemical / Product),538010350,9670949,Niovis Shipping,VULCAN NAVIGATION LTD,LRS,Guangzhou CSSC Longxue Shipbuilding,Niovis Shipping,ISHIMA
Bago City,SMALL CLEAN TNKR (Bunkering),548337500,8875372,SMC Shipping and Lighterage Corp,SMC SHIPPING & LIGHTERAGE CORP,,RWR Marine Works,SMC Shipping and Lighterage Corp,SMC Shipping and Lighterage Corp
Bagshot,SMALL CLEAN TNKR (Chemical / Product),256904000,9938987,Union Maritime,BAGSHOT SHIPPING LTD,NKK,Hyundai Mipo,CSSA Chartering & Shipping Services SA,Atlantas Ship Management
Bagus Selatan,SMALL CLEAN TNKR,525011140,8823939,Landasindo Sahu Baruna Jaya,LANDASINDO SAHU BARUNA JAYA,BKI,Nakamura,Landasindo Sahu Baruna Jaya,Landasindo Sahu Baruna Jaya
Bahama,AFRAMAX TNKR,511827000,9186651,DS Tankers,TEEKAY SPIRIT GMBH & CO,LRS,Koyo Dock,DS Tankers,DS Tankers
Bahama Blue,SMALL CLEAN TNKR,215018000,9836529,Bahama Blue Shipping Corp,BAHAMA BLUE SHIPPING CORP,RINA,MTG Dolphin,Bahama Blue Shipping Corp,Maritec Tanker Management
Bahari Maju II,SMALL CLEAN TNKR,525024244,9728813,Pelayaran Bahari Maju,PELAYARAN BAHARI MAJU PT,BKI,Huangbai,Pelayaran Bahari Maju,Inti Sejahtera Maju
Bahari Maju III,SMALL CLEAN TNKR,525024245,9728825,Undisclosed,TANIMAS MARITIM INDONESIA PT,BKI,Huangbai,Undisclosed,Inti Sejahtera Maju
Bahia Damas,MR1 TNKR (Chemical / Product),351855000,8916255,Belavero Maritime,ALCINOE NAVIGATION INC,RMRS,Shin Kurushima Onishi,Belavero Maritime,Jacinta Marine
Bahia Levante,SMALL CLEAN TNKR (Bunkering),224932000,9941166,Abanca Corporacion Bancaria SA,ABANCA CORPORACION BANCARIA SA,BV,Ast de Murueta,Mureloil SA,Mureloil SA
Bahia Tres,SMALL CLEAN TNKR (Bunkering),224994000,9428671,Mureloil SA,MURELOIL SA,BV,Zhenjiang Sopo,Mureloil SA,Mureloil SA
Bahia Uno,SMALL CLEAN TNKR,224127820,9312274,Mureloil SA,MURELOIL SA,BV,Ast de Murueta,Mureloil SA,Mureloil SA
Bahijah,LIVESTOCK,538007603,9360788,Dabbah Shipping,BASSEM DABBAH SHIPPING INC,RINA,Drydocks World Pertama,Korkyra Shipping,Korkyra Shipping
Bahla,VLCC,538009083,9870812,Asyad Shipping,BAHLA MARITIME TRANSPORTATION,LRS,Daewoo,Asyad Shipping,Asyad Shipping
Bahra,LR2 TNKR,447069000,9595008,KOTC,KUWAIT OIL TANKER CO SAK,LRS,Daewoo,Kuwait Petroleum Corporation,KOTC
Bahri D,SMALL CLEAN TNKR (Chemical / Product),271010907,8973459,Borlu Cevik Akaryakit,BORLU CEVIK AKARYAKIT,,Unknown Yard,Borlu Cevik Akaryakit,Borlu Cevik Akaryakit
Bahtera Kapuas,SMALL CLEAN TNKR,525020286,9748617,Bahtera Maju Selaras,BAHTERA MAJU SELARAS PT,BKI,PT Buana Cipta Mandala,Bahtera Maju Selaras,Bahtera Maju Selaras
Bai Chi,MR2 TNKR,413349030,9342073,COSCO Shipping Energy Transportation,COSCO SHIPPING TANKER SHANGHAI,CCS,Guangzhou CSSC Longxue Shipbuilding,COSCO Shipping Energy Transportation,COSCO Shipping Energy Transportation
Bai Lu,LR2 TNKR,352003056,9388780,DNA Tankers,BUBBLE MARINE INC,KRS,Shanghai Waigaoqiao Shipbuilding,DNA Tankers,Zi Jin Shan Shipmanagement
Bai Lu Zuo,LR1 TNKR,477108200,9538464,COSCO Shipping Energy Transportation,BAILUZUO SHIPPING SA,CCS,Dalian Shipbuilding Industry Corp,COSCO Shipping Energy Transportation,COSCO Shipping Energy Transportation
Bai Tong 11,SMALL CLEAN TNKR,413262950,9930234,Unknown Chinese,ZHOUSHAN BAITONG SHIPPING CO,,Unknown Yard China,Unknown Chinese,Unknown Chinese
Bai Tong 21,SMALL CLEAN TNKR,413331840,8525719,Zhoushan Baitong Shipping,ZHOUSHAN BAITONG SHIPPING CO,,Nanjing Chenglang Shipbuilding,Zhoushan Baitong Shipping,Zhoushan Baitong Shipping
Bai Tong 9,SMALL CLEAN TNKR,414405380,9885520,Zhejiang Zheyin Financial Leasing,ZHEJIANG ZHEYIN FINANCIAL,,Unknown Yard China,Zhejiang Zheyin Financial Leasing,Zhejiang Zheyin Financial Leasing
Bai Yang,SMALL CLEAN TNKR (Chemical / Product),413267060,9389588,Shanghai SC Stolt Shipping,SHANGHAI SCSTOLT SHIPPING LTD,CCS,Ningbo Xinle,Shanghai SC Stolt Shipping,Shanghai SC Stolt Shipping
Bai Yang 17,SMALL CLEAN TNKR,413206390,1038248,Unknown Chinese,NINGBO BAIYANG SHIPPING CO LTD,,Unknown Yard,Unknown Chinese,Unknown Chinese
Baia,SMALL CLEAN TNKR (Bunkering),617079080,7010896,ENACOL,ENACOL,Other,Estaleiros Sao Jacinto,ENACOL,ENACOL
Bajubang/Permina 1012,SMALL DIRTY TNKR,,7374503,Undisclosed,,BKI,Naikai Setoda,Undisclosed,Undisclosed
Bakar,SMALL CLEAN TNKR,273322350,9066411,Dilmas Co Ltd,DILMAS CO LTD,RMRS,Sasaki,Dilmas Co Ltd,Dilmas Co Ltd
Baker Spirit,SUEZMAX TNKR,311000334,9408073,Teekay Tankers,TIL X LLC,ABS,Jiangsu Rongsheng,Teekay Suezmax Pool,Teekay Tankers
Baki 1,SMALL CLEAN TNKR,423185100,8887741,Undisclosed,UNKNOWN,withdrawn from RMRS,Rousse,Undisclosed,Undisclosed
Baki Akar,MR1 TNKR (Chemical / Product),271044414,9241803,Akar Deniz Tasimaciligi,YALOVA GEMI TERSANECILIK SAN,BV,SLS,Akar Deniz Tasimaciligi,Akar Deniz Tasimaciligi
Baku,SMALL CLEAN TNKR (Chemical / Product),273390540,9745720,SOCAR,PROVER SHIPPING LTD,RINA,Turkter Tersane,SOCAR,ASCO Ship Management AFEZCO
Bald Man,MR1 TNKR (Chemical / Product),219279000,9389502,Scorpio Commercial Management,SCORPIOMISTRAL LTD,ABS,STX Offshore,Maersk Handy Pool,Scorpio Commercial Management
Balder,SMALL CLEAN TNKR (Inland),,9882188,Vario Maritiem,LINKSPAN SA,LRS,Nantong Xiangyu,Stolt Tankers,Vario Maritiem
Baldo,SMALL CLEAN TNKR,352002573,9351749,ASCON Trading,ROYCE TRADING SA,BV,Huali Ship Engineering,ASCON Trading,ASCON Trading
Baldur,LIVESTOCK,,7607182,Chatham Islands Shipping,CHATHAM ISLANDS ASSET HOLDINGS,,Sterkoder,Chatham Islands Shipping,Chatham Islands Shipping
Balea,SMALL CLEAN TNKR,242562300,9799434,Consulmar,SERTEGO TGMD SA,BV,Akdenizler Gemi Insa,Consulmar,Consulmar
Balham,SMALL CLEAN TNKR,636023007,9808479,Union Maritime,UML BALHAM LTD,BV,PaxOcean Zhoushan,Union Commercial,Atlantic Shipmanagement
Baliuag,SMALL CLEAN TNKR,548189500,8946030,Herma Shipping and Transport,HERMA SHIPPING & TRANSPORT,Other,Padaco Marine Works,Herma Shipping and Transport,Herma Shipping and Transport
Balla,AFRAMAX TNKR,636021796,9749556,Dryships,REGINA OWNERS INC,KRS,Hyundai Samho Heavy Ind,Dryships,TMS Tankers
Ballina,SUEZMAX TNKR,311001600,8300602,Partankers V AS,,LRS,Mitsubishi HI,Partankers V AS,Partankers V AS
Balluta Bay,SMALL CLEAN TNKR,256489000,8013091,Tankship Management Ltd,BALLUTA BAY MARITIME LTD,LRS,Clelands,Tankship Management Ltd,Tankship Management Ltd
Balongan,SMALL CLEAN TNKR,525008118,9330202,Pertamina,PERTAMINA INTERNATIONAL SHPG,BKI,Drydocks World Pertama,Pertamina,Pertamina
Balongan/Permina 3002,HANDY TNKR (Dirty),,7392191,Indonesia Government,,BKI,Kanasashi,Indonesia Government,Indonesia Government
Balos,MR1 TNKR (Chemical / Product),636013645,9323560,Spring Marine Management,BALOS SHIPPING CO,LRS,SLS,Spring Marine Management,Spring Marine Management
Balsa,AFRAMAX TNKR,374430000,9247821,Akron Trade and Transport,BALSA NAVIGATION SA,suspended from DNV,Tadotsu Tsuneishi,Akron Trade and Transport,Cardona Ship Management Services
Balsam,LR2 TNKR,403231000,9120944,Bihar International,AL DAR AL BARAH TRADING CO LTD,DNV,Daewoo,Bihar International,Red Sea Marine Services
Balt Flot 1,SMALL CLEAN TNKR,273364790,9751872,BF Tankers,BF TANKER LLC,RMRS,OKA,BF Tankers,BF Tankers
Balt Flot 18,SMALL CLEAN TNKR (Chemical / Product),273393560,9838199,BF Tankers,BF TANKER LLC,RMRS,Krasnoye Sormovo,BF Tankers,BF Tankers
Balt Flot 2,SMALL CLEAN TNKR,273365790,9751884,BF Tankers,BF TANKER LLC,RMRS,OKA,BF Tankers,BF Tankers
Balt Flot 3,SMALL CLEAN TNKR,273373240,9751896,BF Tankers,BF TANKER LLC,RMRS,OKA,BF Tankers,BF Tankers
Balt Flot 4,SMALL CLEAN TNKR,273383250,9751913,BF Tankers,BF TANKER LLC,RRR,OKA,BF Tankers,BF Tankers
Balt Flot 5,SMALL CLEAN TNKR,273384250,9751925,BF Tankers,BF TANKER LLC,RRR,OKA,BF Tankers,BF Tankers
Balt Flot 6,SMALL CLEAN TNKR,273385250,9751937,BF Tankers,BF TANKER LLC,RRR,OKA,BF Tankers,BF Tankers
Baltic,SMALL CLEAN TNKR (Chemical / Product),219032007,9451226,Alba Tankers,REDERIET BALTIC APS,DNV,Dearsan,Alba Tankers,Alba Tankers
Baltic,AFRAMAX TNKR,564798000,9006887,Alpha Shipmanagement,SINORICH SHIPPING I PTE LTD,CCS,Samsung,Alpha Shipmanagement,Alpha Shipmanagement
Baltic,MR1 TNKR (Chemical / Product),538002073,9253258,Tsakos Shipping and Trading,MAYFAIR SHIPPING CO,DNV,Hyundai Mipo,Maersk Handy Pool,Tsakos Columbia Shipmanagement
Baltic Glory,SMALL CLEAN TNKR,341713000,7401459,Shipmate,GSM BALTIC MARITIME SA,,Imura Zosen,Shipmate,Shipmate
Baltic I,SUPERSEGREGATOR,,7926241,Sea World Management,,withdrawn from RINA,Sanoyas,Sea World Management,Sea World Management
Baltic Ice,MR1 TNKR (Chemical / Product),636023193,9327401,Undisclosed,SKY1 LTD,RINA,Hyundai Mipo,Trafigura Beheer BV,Cougar Nautic
Baltic Loyalty,VLCC,636020555,9411953,Sinokor,HALO 8 HOLDING LTD,KRS,Hyundai Heavy Ind Ulsan Shipyard,Sinokor,Columbia Shipmanagement GmbH
Baltic Narval,SMALL DIRTY TNKR (Asphalt),563195800,9930222,Colas,BALTIC NARVAL SHIPPING PTE LTD,BV,Wuhu Xinlian Shipbuilding,Colas,Tipco Maritime
Baltic News,PALLETISED CARGO,311139000,8808616,Seatrans Chemical Tankers AS,EURO TRANS SKIPS AS,withdrawn from DNV,Herman Suerken,Seatrans Chemical Tankers AS,Seatrans Chemical Tankers AS
Baltic Prosperity,SMALL CLEAN TNKR (Chemical / Product),212532000,9576820,Lavinia Bulk,ETERNITY SEAS SA,BV,Linhai Hangchang,Lavinia Bulk,Alison Management
Baltic Sapphire,MR1 TNKR (Chemical / Product),229880000,9443425,Interorient Shipmanagement,BALTIC SAPPHIRE LLC,ABS,Hyundai Mipo,Norden Tanker Pool,Interorient Shipmanagement
Baltic Seagull,SMALL CLEAN TNKR (Bunkering),273436370,7917549,Lukoil,LUKOILBUNKER,withdrawn from RMRS,Falkenbergs,Lukoil,Sea Engineering
Baltic Star,MR1 TNKR (Chemical / Product),636023657,9327396,Undisclosed,SKY2 LTD,RINA,Hyundai Mipo,Undisclosed,Cougar Nautic
Baltic Swift,MR1 TNKR (Chemical / Product),229879000,9464376,Interorient Shipmanagement,BALTIC SWIFT LLC,DNV,Hyundai Mipo,Norden Tanker Pool,Interorient Shipmanagement
Baltic Trader,SMALL CLEAN TNKR (Chemical / Product),,8001438,Unknown Norwegian,,,Honda Zosen,Unknown Norwegian,Unknown Norwegian
Baltimore,SMALL CLEAN TNKR (Inland),244192205,9884318,Jaegers Reederei GmbH,MK VERWALTUNGS KG,LRS,Shipyard Kladovo,Jaegers Reederei GmbH,Jaegers Reederei GmbH
Balvenie,SMALL CHEMICAL TNKR,352001207,9130808,Frostcorp Holding,BALVENIE CORPORATION LP,LRS,Union Naval,Frostcorp Holding,OPL Tankers DMCC
Bam Bam,LR1 TNKR,636024336,9393084,Akrotiri Tankers,BAM SHIPPING LTD,DNV,Dalian Shipbuilding Industry Corp,Akrotiri Tankers,Akrotiri Tankers
Ban 1,SMALL CHEMICAL TNKR,,7931143,Undisclosed,BANOCEANS INC,withdrawn from DNV,Batservice,Undisclosed,Undisclosed
Ban Gong Hu,PANAMAX MT (Dirty),412371000,9215139,COSCO Dalian,DALIAN OCEAN SHIPPING CO,CCS,Dalian New Yard,COSCO Dalian,COSCO Dalian
Banda,AFRAMAX TNKR,636015767,9337406,Chemnav Shipmanagement,CRUDE PETROLEUM VENTURES SA,DNV,Sumitomo,Chemnav Shipmanagement,Thome Ship Management
Bandai Glory,SMALL CHEMICAL TNKR,677047300,9159244,Palmer Shipping,PALMER SHIPPING SDN BHD,nonIACS,Mukaishima Zoki,Palmer Shipping,Palmer Shipping
Bandirma,SMALL CHEMICAL TNKR,271046294,9120243,Hicri Ercili,HICRI ERCILI DENIZCILIK AS,BV,Union Naval,Hicri Ercili,Hicri Ercili
Banei,SMALL CLEAN TNKR (Chemical / Product),431501665,9235830,Imahatsu Kaiun,IMAHATSU/KOMATSU,NKK,Sasaki,Imahatsu Kaiun,Unknown Japanese
Bang Yang 16,SMALL CLEAN TNKR,413615570,1081714,Zhoushan Bangyang Shipping,,,Haibin,Zhoushan Bangyang Shipping,Zhoushan Bangyang Shipping
Bang Yang 18,SMALL CHEMICAL TNKR,413398270,9995222,Zhoushan Bangyang Shipping,ZHOUSHAN BANGYANG SHIPPING,CCS,Zhejiang Rongchang,Zhoushan Bangyang Shipping,Zhoushan Bangyang Shipping
Bang Yang 19,SMALL CLEAN TNKR (Chemical / Product),352004236,9626352,Hong Kong Sea Run Shipping,ZHONG LONG SHIPPING LTD,CCS,Zhejiang Haifeng Shipbuilding,Hong Kong Sea Run Shipping,Daoying International Ship Management
Bang Yang 7,SMALL CLEAN TNKR,414404060,9890460,Zhoushan Bangyang Shipping,ZHOUSHAN BANGYANG SHIPPING,,Haibin,Zhoushan Bangyang Shipping,Zhoushan Bangyang Shipping
Bangkok Chemi,SMALL CHEMICAL TNKR,538010253,9330410,Sunwoo Tanker,OCEAN TRINITY SH NO 37 SA,KRS,Asakawa,Sunwoo Tanker,GFSM Co
Banglar Agradoot,MR1 TNKR (Chemical / Product),405000238,9793868,Bangladesh Shipping Corp,BANGLADESH SHIPPING CORP,LRS,Jiangsu New Yangzijiang,Seatrek Trans Pte,Bangladesh Shipping Corp
Banglar Agragoti,MR1 TNKR (Chemical / Product),405000239,9793870,Bangladesh Shipping Corp,BANGLADESH SHIPPING CORP,LRS,Jiangsu New Yangzijiang,Seatrek Trans Pte,Bangladesh Shipping Corp
Banglar Agrajatra,MR1 TNKR (Chemical / Product),405000237,9793856,Bangladesh Shipping Corp,BANGLADESH SHIPPING CORP,LRS,Jiangsu New Yangzijiang,Seatrek Trans Pte,Bangladesh Shipping Corp
Banglar Jyoti,SMALL DIRTY TNKR,405000024,8508943,Bangladesh Shipping Corp,BANGLADESH SHIPPING CORP,BV,Orskov,Bangladesh Shipping Corp,Bangladesh Shipping Corp
Banglar Shourabh,SMALL DIRTY TNKR,405000025,8508955,Bangladesh Shipping Corp,BANGLADESH SHIPPING CORP,BV,Orskov,Bangladesh Shipping Corp,Bangladesh Shipping Corp
Bangun Rejo,SMALL CLEAN TNKR,525016196,9095905,Buana Indotama Global,BUANA INDOTAMA GLOBAL PT,BKI,Zhejiang Qiligang Shipbuilding,Buana Indotama Global,Buana Indotama Global
Bangun Sejati,SMALL CLEAN TNKR,,9976745,Unknown Indonesian,BINA DHARMA SEJAHTERA,,Nongsa Jaya Buana,Unknown Indonesian,Unknown Indonesian
Bani,MR1 TNKR,,7351252,Undisclosed,,RINA,Fincantieri Castellammare,Undisclosed,Undisclosed
Bani Yas,LR1 TNKR,636014942,9487249,ADNOC Logistics and Services,BANI YAS SHIPPING CO INC,LRS,STX Offshore,LR8 Pool,ADNOC Logistics and Services
Bankim Chandra Chatterjee,MR2 TNKR,419006000,9045481,SCI,SHIPPING CORP OF INDIA LTD,IRS,Hanjin Heavy Ind,SCI,SCI
Bantry Bay,MR2 TNKR (Chemical / Product),563194800,9967249,Asiatic Lloyd Shipping,AL TANKER I SHIPPING PTE LTD,ABS,Hyundai Vietnam Shipbuilding,Hafnia MR Tankers Pool,ISHIMA
Banyan Pride,MR1 TNKR (Chemical / Product),538007955,9223265,TXZ Tankers,IOLANI SHIPPING LTD,BV,Guangzhou CSSC Longxue Shipbuilding,TXZ Tankers,Centennial Maritime Ventures
Banzystad,SMALL CLEAN TNKR (Inland),244670973,9584279,Naval Inland Navigation,PORTUS SA,LRS,Arkhangelsk,Naval Inland Navigation,Naval Inland Navigation
Bao De 8120,SMALL CLEAN TNKR,413275210,9940916,Shenzhen Baode Ocean Shipping,SHENZHEN BAODE OCEAN SHPG CO,,Zhejiang Dongpeng Shipbuilding,Shenzhen Baode Ocean Shipping,Shenzhen Baode Ocean Shipping
Bao Feng Hua 1,SMALL CLEAN TNKR (Chemical / Product),413384960,9948059,Fengle Shipping,SHANGHAI FENGLE SHIPPING CO,CCS,Nantong Xiangyu,Fengle Shipping,Fengle Shipping
Bao Hai Tun,SMALL CLEAN TNKR (Chemical / Product),412373550,9400227,Dongzhan Shipping,DONGZHAN SHIPPING CO LTD,CCS,Kejin Shipyard,Dongzhan Shipping,Dongzhan Shipping
Bao He,SMALL CLEAN TNKR,667001922,8419829,Bao He International Ltd,BAO HE INTERNATIONAL LTD,withdrawn from KRS,Kurinoura Dock,Bao He International Ltd,Bao He International Ltd
Bao Lian,SMALL CLEAN TNKR,413558480,1059527,Zhoushan Putuo Anshun Shipping,ZHOUSHAN PUTUO ANSHUN SHIPPING,,Unknown Yard,Zhoushan Putuo Anshun Shipping,Zhoushan Putuo Anshun Shipping
Bao Shan 2,SMALL CLEAN TNKR,416013800,8732879,CPC Corp Taiwan,CPC CORP TAIWAN,,Unknown Yard,CPC Corp Taiwan,CPC Corp Taiwan
Bao Shan III,SMALL CLEAN TNKR,416362000,9276456,CPC Corp Taiwan,CPC CORP TAIWAN,CCR,Fong Kuo Shipbuilding,CPC Corp Taiwan,CPC Corp Taiwan
Bao Tan Xian Feng,SMALL CLEAN TNKR (Chemical / Product),412501020,9410258,NASCO,NANJING JIANGHAI TANKER CO LTD,CCS,Ocean Leader,NASCO,NASCO
Baraawe 1,SMALL CLEAN TNKR,341987001,9646479,Abu Marine,ABU MARINE CO LTD,CCS,Zhaobao Shipyard,Abu Marine,Abu Oil Gas Marina Services
Barakaale I,SMALL CLEAN TNKR,677962000,8508747,Undisclosed,UNKNOWN,withdrawn from KRS,Sasaki,Undisclosed,Undisclosed
Barakah,VLCC,636020761,9902615,ADNOC Logistics and Services,BARAKAH INC,LRS,Dalian Shipbuilding Industry Corp,VL8 Pool,ADNOC Logistics and Services
Barakat,LIVESTOCK,677078700,8702343,Al Ihsan Shipping,AL IHSAN SHIPPING CO LTD,MBS,Nordsovaerftet,Al Ihsan Shipping,Coral Technical Services
Barakuda Natuna,LR2 TNKR,525021310,9138604,Soechi Lines,INTI ENERGI LINE PT,RINA,Dalian New Yard,Soechi Lines,Vektor Maritim PT
Barawati,AFRAMAX TNKR,391835831,8902814,BLT,CITRINE MARITIME PT,withdrawn from NKK,Namura,BLT,BLT
Barbarica,SMALL CLEAN TNKR (Chemical / Product),256885000,9383443,Mediterranea di Navigazione,MEDITERRANEA DI NAVIGAZIONE,RINA,RMK Marine,Bunker One,Mediterranea di Navigazione
Barbaros Hayrettin Vardal,SMALL CLEAN TNKR (Chemical / Product),352002015,9282675,Varkan Group,BH VARDAL SHIPPING CO LTD,BV,Yardimci Deniz,Varkan Group,Veysel Vardal Gemicilik
Barbaros Uluc Vardal,SMALL CLEAN TNKR (Chemical / Product),352001852,9291602,Varkan Group,MOON STAR SHIPPING CO LTDMAI,BV,Yardimci Deniz,Varkan Group,Veysel Vardal Gemicilik
Barbarosa,SUEZMAX TNKR,642122017,9415399,GNMTC,BARBAROSA OIL CO LTD,NKK,Hyundai Samho Heavy Ind,Stena Bulk,ITM
Barbouni,J19 STAINLESS STEEL,538006955,9416020,Stainless Tankers ASA,ST2 LTD,LRS,Fukuoka,Stainless Tankers Inc,Fleet Management Ltd
Barcelona,SMALL CLEAN TNKR (Inland),244670932,8336924,Victrol,MOSELTANK AG,,Unknown Yard,Victrol,Victrol
Barcelona Spirit,SUEZMAX TNKR,311000437,9578634,CMB Financial Leasing,SEA 284 LEASING CO LTD,LRS,Samsung,Teekay Suezmax Pool,Teekay Tankers
Bard,MR1 TNKR,,8810023,Unknown Greek,,withdrawn from ABS,Uljanik Brodogradiliste,Unknown Greek,Unknown Greek
