X,Y,portid,portname,country,ISO3,continent,fullname,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,LOCODE,pageid,countrynoaccents,ObjectId
-5800019.96860912,-3774947.09854865,port1104,Rio Grande,Brazil,BRA,South America,"Rio Grande, Brazil",-32.08860546,-52.10246586,1637,473,743,111,22,288,Vegetable Products,Wood & Wood Products,Mineral Products,3.03,2.81,BR RIG,4fb9f586da834130b270f2cb0246e1ab,Brazil,586
-5158162.65726977,-2743305.71963216,port1160,Santos,Brazil,BRA,South America,"Santos, Brazil",-23.91706787,-46.33656353,5258,2026,1791,333,167,941,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,13.47,12.7,BR SSZ,c1acbf26c48b43629974f2253b6f9557,Brazil,587
-5412406.40224162,-3025162.68678586,port1161,Sao Francisco,Brazil,BRA,South America,"Sao Francisco, Brazil",-26.210395,-48.62047395,404,4,331,63,0,6,Vegetable Products,Mineral Products,Wood & Wood Products,1.94,0.82,,2c3725fe58b24f9b91c29af03e98d936,Brazil,588
-8533.52151022743,7090597.92658831,port421,Grimsby,United Kingdom,GBR,Europe,"Grimsby, United Kingdom",53.57779578,-0.076657928,531,9,0,100,335,87,Mineral Products,Wood & Wood Products,Prepared Foodstuffs & Beverages,0.18,0.13,GB GSY,1327c99691b24a70ad89cf064b5eff9c,United Kingdom,589
-5054600.66111473,-2729359.9957442,port1162,Sao Sebastiao,Brazil,BRA,South America,"Sao Sebastiao, Brazil",-23.8024977,-45.40625029,672,3,40,25,0,604,Mineral Products,Chemical & Allied Industries,Vegetable Products,13.22,0.03,BR SSO,95794fbc5292446798c51cf8ae207753,Brazil,590
-4479259.80013119,-2303717.89382898,port1328,Tubarao,Brazil,BRA,South America,"Tubarao, Brazil",-20.25882714,-40.2378754,931,4,824,59,0,44,Mineral Products,Chemical & Allied Industries,Metals,0.27,8.47,,152c6a8807f14a8382579285b80f474d,Brazil,591
-4489670.9844507,-2311710.20458325,port1368,Vitoria,Brazil,BRA,South America,"Vitoria, Brazil",-20.32616721,-40.33140066,545,155,153,80,76,81,Mineral Products,Vegetable Products,Chemical & Allied Industries,1,0.17,BR VIX,5b87f12af50e4a9fa22900a0ff2c4967,Brazil,592
-6640010.76509166,1492513.18237389,port63,Arawak,Barbados,BRB,North America,"Arawak, Barbados",13.28676153,-59.64823157,36,1,18,17,0,0,Chemical & Allied Industries,Mineral Products,Stone & Glass,1.97,23.92,,dcdf48cd22454e538e980db19b1c536f,Barbados,593
-6637697.13864364,1471915.40357247,port171,Bridgetown,Barbados,BRB,North America,"Bridgetown, Barbados",13.10661495,-59.62744791,638,229,36,171,65,137,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,98.03,76.08,BB BGI,83727e1884b54848ae65efeb91805236,Barbados,594
4528068.69582194,9484408.38240701,port68,Arkhangelsk,Russian Federation,RUS,Europe,"Arkhangelsk, Russian Federation",64.52521694,40.67633317,564,17,30,357,0,160,Mineral Products,Wood & Wood Products,Vegetable Products,0.32,0.13,,18b1f9076c1f491caac5bb16ccc5f265,Russian Federation,595
5345738.78001732,5842209.77220595,port76,Astrakhan Port,Russian Federation,RUS,Europe,"Astrakhan Port, Russian Federation",46.38467723,48.02158851,629,2,0,569,0,58,Wood & Wood Products,Vegetable Products,Mineral Products,0.15,0.13,,f7d1951212dd4a6cbaf99451ad8e87c2,Russian Federation,596
2217931.30677148,7291868.85045697,port104,Baltiysk,Russian Federation,RUS,Europe,"Baltiysk, Russian Federation",54.63771376,19.92401592,198,78,0,65,33,22,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.5,0.04,RU BLT,5cca8ac3d06c49359cfdfe53e4b95f45,Russian Federation,597
15618194.8231589,6290179.78642707,port187,Vanino,Russian Federation,RUS,Europe,"Vanino, Russian Federation",49.09019681,140.3006312,1033,15,461,237,56,264,Mineral Products,Wood & Wood Products,Chemical & Allied Industries,0.35,4.99,,2938439d92104975b6387c28135e7e4a,Russian Federation,598
15671362.1140247,6704658.68260188,port283,De Kastri,Russian Federation,RUS,Europe,"De Kastri, Russian Federation",51.46889483,140.7782411,9,0,0,9,0,0,Metals,Wood & Wood Products,Vegetable Products,0,0.01,,280d8952986e421caa8e7c552b995cea,Russian Federation,599
9593184.0294208,10877170.4837982,port308,Dudinka,Russian Federation,RUS,Europe,"Dudinka, Russian Federation",69.40312102,86.17703837,111,70,1,39,0,1,Mineral Products,Prepared Foodstuffs & Beverages,Metals,0.28,0.05,RU DUD,88042e9a79fd498a9210025ac4799335,Russian Federation,600
3179662.94851548,8535439.57158391,port378,Vysotsk,Russian Federation,RUS,Europe,"Vysotsk, Russian Federation",60.60392223,28.56339825,493,2,56,68,0,367,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.27,2.04,,7a4e235f144c49e6b7c74a8fb25c20f0,Russian Federation,601
2245862.63271412,7300832.42698594,port509,Izhevskoye,Russian Federation,RUS,Europe,"Izhevskoye, Russian Federation",54.68428825,20.17492729,768,93,69,399,1,206,Prepared Foodstuffs & Beverages,Mineral Products,Vegetable Products,4.75,0.47,,72e1df66fa7a43e5969760990c790049,Russian Federation,602
2276806.13272063,7303323.6897289,port530,Kaliningrad,Russian Federation,RUS,Europe,"Kaliningrad, Russian Federation",54.6972233,20.45289748,717,124,9,500,1,83,Mineral Products,Vegetable Products,Chemical & Allied Industries,1.23,0.11,RU KGD,e5e75ecd2e794ab1bbe13f093a01ad60,Russian Federation,603
3607762.7992009,10195255.314664,port539,Kandalaksha,Russian Federation,RUS,Europe,"Kandalaksha, Russian Federation",67.1371914,32.40908464,21,0,19,1,0,1,Mineral Products,Chemical & Allied Industries,Vegetable Products,0,0.13,RU KAN,a93e4dee84e24ccc9e9c8a1aa62c0b96,Russian Federation,604
4081839.23932005,5674596.79912135,port554,Kavkaz,Russian Federation,RUS,Europe,"Kavkaz, Russian Federation",45.33614508,36.66778576,373,0,6,178,55,134,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.23,0.17,,07a9adf750f44bce921f3c773f96d7b1,Russian Federation,605
3814910.20867907,8902922.10436139,port590,Kondopoga,Russian Federation,RUS,Europe,"Kondopoga, Russian Federation",62.18407331,34.26992148,67,0,11,56,0,0,Wood & Wood Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.03,0,RU KPA,0a971017887440d6870c109f35599044,Russian Federation,606
15902000.6032752,5881349.49480238,port594,Korsakov,Russian Federation,RUS,Europe,"Korsakov, Russian Federation",46.62667555,142.8501019,714,149,3,239,4,319,Mineral Products,Chemical & Allied Industries,Metals,1.75,1.13,RU KOR,8fa40bb5c1434534b4d55446e45b708a,Russian Federation,607
5284623.49012908,5313201.29146462,port684,Makhachkala,Russian Federation,RUS,Europe,"Makhachkala, Russian Federation",43.00807675,47.47258052,456,0,6,197,0,253,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",4.02,0.05,,f0c901c35bbf46cb8a7bbde6e00e0c8f,Russian Federation,608
3678998.15178952,10747331.4087741,port779,Murmansk,Russian Federation,RUS,Europe,"Murmansk, Russian Federation",68.98887419,33.0490027,1410,102,344,259,4,701,Mineral Products,Wood & Wood Products,Vegetable Products,21.87,6.26,RU MMK,fa8b666a78cc492eaa40464355d04379,Russian Federation,609
14792950.8992212,5282139.06379929,port787,Nakhodka,Russian Federation,RUS,Europe,"Nakhodka, Russian Federation",42.80369017,132.8873389,1986,50,552,598,14,772,Mineral Products,Vegetable Products,Chemical & Allied Industries,3.12,3.93,RU NJK,7432fc7bd00d4225b1e78d146e1bcbc3,Russian Federation,610
4208847.62492469,5578089.85119625,port833,Novorossiysk,Russian Federation,RUS,Europe,"Novorossiysk, Russian Federation",44.72345598,37.8087215,4438,712,774,1195,179,1578,Mineral Products,Chemical & Allied Industries,Metals,6.25,17.19,RU NVS,49e29e693dbb40b8862589a53ab72e12,Russian Federation,611
4082717.42653777,5643598.48847731,port978,Taman,Russian Federation,RUS,Europe,"Taman, Russian Federation",45.14006257,36.67567465,534,0,240,20,0,274,Mineral Products,Vegetable Products,Metals,1.55,5.13,,c64ea8f91e55401f8507a04df0bee300,Russian Federation,612
3198341.52306122,8475139.23973429,port1020,Primorsk,Russian Federation,RUS,Europe,"Primorsk, Russian Federation",60.33694122,28.73119074,965,0,1,3,0,961,Mineral Products,Chemical & Allied Industries,Metals,0.07,11.9,,bffa2ba1727a4233b0319a070d870595,Russian Federation,613
3162104.13561444,8329423.242774,port1095,Ust-Luga,Russian Federation,RUS,Europe,"Ust-Luga, Russian Federation",59.68266556,28.40566475,2978,103,954,299,138,1484,Mineral Products,Chemical & Allied Industries,Vegetable Products,2.95,22.09,,ea2bf713619b47d38d9d226138065f62,Russian Federation,614
4417087.85005161,5973925.90654547,port1112,Rostov-Na-Donu,Russian Federation,RUS,Europe,"Rostov-Na-Donu, Russian Federation",47.19478382,39.67937527,3153,3,52,2378,3,717,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.28,0.8,,f301b67d255f4a4594d0dc61159e6aac,Russian Federation,615
3352072.9372332,8377445.36268582,port1150,Saint Petersburg,Russian Federation,RUS,Europe,"Saint Petersburg, Russian Federation",59.89971977,30.11218353,4432,841,512,1411,172,1496,Mineral Products,Chemical & Allied Industries,Wood & Wood Products,27.22,7.71,,719cb2b2bcef4567a6a16768e3227c60,Russian Federation,616
4004838.66700117,8814729.46669227,port1186,Shala Pristan,Russian Federation,RUS,Europe,"Shala Pristan, Russian Federation",61.81211745,35.97607785,69,0,8,60,0,1,Mineral Products,Vegetable Products,Wood & Wood Products,0.01,0,,b303c22957e34a1cb63f4671323662d5,Russian Federation,617
-8911772.55750093,3094518.33120903,port876,Palm Beach,United States,USA,North America,"Palm Beach, United States",26.76801713,-80.05581497,619,218,14,313,68,6,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,0.05,0.07,,aed6fc2b1d564cf1a3b89b31d3d70ba2,United States,618
