mmsi,ship_name,imo,country,operator,build_year,ship_type,deadweight,source,match_score,match_reason,sdn_number,sdn_name,sdn_type,sdn_program,sdn_country,sdn_remarks,sdn_extra
352002495,Merope,9281891,Panama,Shanghai Future Ship Management,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9281891,51387,MEROPE,vessel,UKRAINE-EO13662] [IRAN-EO13902] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9281891; MMSI 352002495; Linked To: SHANGHAI FUTURE SHIP MANAGEMENT CO LTD; Linked T"
352006683,Midas,9266841,Panama,Ocean Morion Shipping,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9266841,57688,MIDAS,vessel,IRAN-EO13902,Panama,-0- ,Vessel Year of Build 2003; Vessel Registration Identification IMO 9266841; MMSI 352006683; Linked To: OCEAN MARVEL SHIPPING COMPANY LIMITED.
461000255,Mirabel,9511521,Oman,Sovcomflot,2010.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9511521,51638,MOSKOVSKY PROSPECT,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Gabon,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9511521; MMSI 626368000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
273398330,Narval,9116632,Russia,MG Flot,1996.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9116632,37061,POLAR ROCK,vessel,RUSSIA-EO14024,Russia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9116632; Linked To: MARINE TRANS SHIPPING LLC.
273272530,Novator,9297357,Russia,Kangen Maritime,2006.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9297357,52313,ARJUN,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9297357; MMSI 352002801; Linked To: KANGEN MARITIME CORPORATION."
613442851,Nemrut,9439541,Cameroon,Zimar Shipping,2009.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9439541,54806,NEMRUT,vessel,IRAN-EO13902,Liberia,-0- ,Vessel Year of Build 2009; Vessel Registration Identification IMO 9439541; MMSI 636022766; Linked To: THE ZULU SHIPS MANAGEMENT AND OPERATION - SOLE PROPRIETORSHIP L.L.C.
273258030,Nevskiy Prospect,9256054,Russia,Sovcomflot,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9256054,47022,NEVSKIY PROSPECT,vessel,RUSSIA-EO14024,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9256054; MMSI 626369000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
620800046,New Power,9266853,Comoros,Uva Albilla Group,2004.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9266853,51633,NEREUS SOPHIA,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9266853; MMSI 352003763; Linked To: MEGHAN GROUP LIMITED."
550167011,Olina,9282479,Unknown,Tantye Peur,2005.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9282479,51709,MINERVA M,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9282479; MMSI 352001530; Linked To: SUNNE CO LIMITED."
306724000,Ocean River,9284594,Curacao,Hung Phat,2004.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9284594,51550,LEOPARD,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Vietnam,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9284594; MMSI 574005550; Linked To: SAO VIET PETROL TRANSPORTATION COMPANY LIMITED."
