mmsi,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port
477227900,0.077238,0.5626,0.154158,0.30975,0.1885,1.728182,0.000108,0.0
613411502,0.07755,0.4297,0.110156,0.123268,0.0799,2.006117,0.001878,0.014939
750777000,0.077798,0.54,0.267013,0.00011,0.0,1.26515,0.00011,0.0
631010073,0.077924,0.4663,0.24938,0.097763,0.1334,1.109657,0.004535,0.045575
463076101,0.078501,0.3466,0.272509,0.15529,0.7675,1.045404,3e-05,0.0
667001708,0.078576,0.4361,0.220088,0.083234,0.1778,2.070814,0.001691,0.019861
613541500,0.079052,0.467,0.155252,0.130659,0.1642,2.23467,3.7e-05,0.0
667002270,0.079289,0.5359,0.327107,0.189163,0.2465,1.562052,0.001298,0.006694
613445621,0.07936,0.5018,0.360161,0.222351,0.1962,1.935617,0.000824,0.003408
419795000,0.079736,0.5528,0.610856,0.260231,0.151,1.592376,5e-05,0.0
631010102,0.080187,0.3229,0.190087,0.072109,0.1073,1.103185,0.001418,0.019334
613469620,0.080199,0.4418,0.435697,0.039151,0.0836,1.116537,0.001124,0.027407
468124000,0.08207,0.4743,0.298768,0.100015,0.0797,2.016009,6.7e-05,0.0
525100241,0.082139,0.4314,0.249764,0.450941,0.2523,1.237226,0.000183,0.0
650000116,0.082903,0.4609,0.442397,0.181622,0.0511,2.473223,7e-05,0.0
249078000,0.08291,0.5711,0.284726,0.298057,0.375,3.044788,4.1e-05,0.0
306761000,0.082942,0.287,0.716179,0.00011,0.0,2.483102,0.00011,0.0
273273460,0.08322,0.5008,0.413431,0.184662,0.1772,3.028609,5e-05,0.0
667002271,0.083584,0.4643,0.443206,0.144449,0.0667,1.376254,0.001498,0.009837
636019833,0.083883,0.4318,0.5,0.38621,0.387,0.244071,3.8e-05,0.0
567599000,0.083909,0.4505,0.187572,0.681234,1.8194,1.641844,4.8e-05,0.0
667002336,0.084004,0.4153,0.273543,0.152284,0.1547,4.068051,0.011508,0.075391
240633000,0.084673,0.4055,0.089022,0.157224,0.2294,0.941875,0.000961,0.005985
461000246,0.08478,0.3834,0.083899,0.112538,0.0658,2.678167,3.1e-05,0.0
314123000,0.085418,0.6074,0.146293,0.30796,0.2625,1.71589,2.1e-05,0.0
352005847,0.085728,0.5901,0.305384,0.095947,0.1206,1.766682,0.002052,0.020884
