mmsi,ship_name,country,gap_24h_ratio,non_anch_low_ratio,cog_high_vol_ratio,loitering_h_ratio,non_anch_low_max_dur_h,cog_very_high_vol_ratio,non_anch_low_events,age_risk,flag_score,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port,company_count,logistic_score,logistic_score_std,logistic_score_ci95_lower,logistic_score_ci95_upper,prediction_credibility,anomaly_index,confidence_grade,sanction_sources,hit_ofac,quadrant
613003614,Noctis,Cameroon,0.000135,0.178475,0.122573,0.178455,44.0,0.047248,437,2,3,0.112958,0.5825,0.25534,0.303212,0.141,1.107797,0.028835,0.094986,43.0,87.25,10.83,66.02,100.0,高可信,10.49,A,2,False,A_确认影子
613442258,Oneiroi,Cameroon,0.000249,0.024843,0.017812,0.024729,6.3,0.006209,25,1,3,0.088104,0.3669,0.130037,0.178369,0.168,1.409605,0.000122,0.0,35.0,86.88,12.35,62.67,100.0,中可信,1.48,C,2,False,A_确认影子
667002284,Glacia,Sierra Leone,0.000133,0.196962,0.089264,0.196936,48.1,0.03993,207,1,2,0.070966,0.4481,0.252316,0.126211,0.0366,2.273409,5.2e-05,0.0,39.0,86.84,10.83,65.61,100.0,高可信,10.65,B,2,False,A_确认影子
273279660,Vulkan,Russia,0.00012,0.032016,0.033632,0.031973,23.2,0.015715,76,2,1,0.034753,0.3602,0.165267,0.155809,0.1244,3.023513,0.001318,0.008159,30.0,86.79,6.16,74.72,98.86,高可信,2.12,A,2,False,A_确认影子
667001252,Wu Tai,Sierra Leone,0.000179,0.071453,0.048616,0.071421,117.2,0.019429,34,1,2,0.060634,0.5013,0.172115,0.215205,0.0974,0.966927,0.006983,0.032276,34.0,86.71,10.02,67.07,100.0,高可信,4.19,A,2,False,A_确认影子
273275850,Yuri Senkevich,Russia,0.001113,0.569325,0.239803,0.569397,221.6,0.126622,194,2,1,0.134247,0.623,0.237551,0.000166,0.0,3.738715,0.000166,0.0,35.0,86.63,7.13,72.66,100.0,高可信,30.44,B,3,True,A_确认影子
273259630,Sakhalin,Russia,4.8e-05,0.106706,0.0396,0.106689,52.6,0.020429,957,2,1,0.105275,0.4107,0.098013,0.062469,0.0828,2.95116,0.000801,0.012446,32.0,86.59,5.68,75.46,97.72,高可信,5.59,A,3,True,A_确认影子
273258030,Nevskiy Prospect,Russia,0.000301,0.061735,0.064024,0.061674,50.2,0.028306,181,2,1,0.120852,0.4721,0.038698,0.092319,0.0849,3.823315,0.005278,0.056425,28.0,86.58,5.3,76.19,96.97,高可信,4.07,B,3,True,A_确认影子
613511201,Hannah,Cameroon,0.000113,0.171624,0.032542,0.171609,117.9,0.0159,264,2,3,0.239,0.4666,0.126745,0.174189,0.1133,2.134845,2.7e-05,0.0,26.0,86.43,11.05,64.77,100.0,高可信,8.38,A,2,False,A_确认影子
667002338,Silvera,Sierra Leone,0.000219,0.162543,0.063179,0.162518,208.2,0.018538,91,2,2,0.184035,0.4112,0.31428,0.067736,0.0407,6.493675,0.000175,0.001954,33.0,86.33,5.73,75.1,97.56,高可信,8.58,A,2,False,A_确认影子
613411300,Lindor,Cameroon,0.000583,0.234212,0.045498,0.23419,233.5,0.016427,307,2,3,0.528233,0.4788,0.158582,0.125764,0.1595,2.016009,5.3e-05,0.0,46.0,86.2,7.12,72.24,100.0,高可信,11.46,A,2,False,A_确认影子
613881404,Nevah,Cameroon,0.000204,0.185667,0.140557,0.185624,478.3,0.074318,136,1,3,0.058474,0.5077,0.187572,0.270627,0.1426,2.073485,0.018315,0.067402,27.0,86.09,9.55,67.37,100.0,高可信,11.17,B,2,False,A_确认影子
