mmsi,imo,ship_name,country,operator,build_year,ship_type,deadweight,builder,builder_country,age_risk,n_points,total_days,sanction_sources,risk_level,hit_ofac,hit_un,hit_eu,hit_uk,flag_score,paris_list,tokyo_list,gap_24h_ratio,gap_24h_ci95_lower,gap_24h_ci95_upper,gap_24h_ci90_lower,gap_24h_ci90_upper,gap_24h_ci80_lower,gap_24h_ci80_upper,gap_12h_count,gap_24h_count,gap_72h_count,gap_max_hours,gap_mean_hours,low_speed_ratio,non_anch_low_ratio,non_anch_low_ci95_lower,non_anch_low_ci95_upper,non_anch_low_ci90_lower,non_anch_low_ci90_upper,non_anch_low_ci80_lower,non_anch_low_ci80_upper,non_anch_low_events,non_anch_low_max_dur_h,loitering_h_ratio,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port,cog_high_vol_ratio,cog_high_vol_ci95_lower,cog_high_vol_ci95_upper,cog_high_vol_ci90_lower,cog_high_vol_ci90_upper,cog_high_vol_ci80_lower,cog_high_vol_ci80_upper,cog_very_high_vol_ratio,cog_mean_vol,cog_max_vol,anomaly_index,anomaly_ci95_lower,anomaly_ci95_upper,anomaly_ci90_lower,anomaly_ci90_upper,anomaly_ci80_lower,anomaly_ci80_upper,data_sufficiency,confidence_grade,name_changes,flag_changes,owner_changes,total_identity_changes,recorded_calls,unrecorded_call_ratio,hotspot_dwell_ratio,logistic_score,logistic_score_std,logistic_score_ci95_lower,logistic_score_ci95_upper,prediction_credibility,quadrant,company_count,company_source
775181000,9230098.0,Regina,Venezuela,Spine Denizcilik,2001.0,AFRAMAX TNKR,0000-00-00,Daewoo,South Korea,3,19809,45.9,1,低风险,True,False,False,False,0,Not Listed,Not Listed,0.000248,5.2e-05,0.000445,6.1e-05,0.000379,7.3e-05,0.000312,12,3,0,57.4,0.1,0.861931,0.861861,0.857057,0.866665,0.85785,0.865914,0.858759,0.865044,44,367.9,0.861975,0.137079,0.557,0.834437,9.7e-05,0.0,0.603272,9.7e-05,0.0,0.250894,0.244857,0.256931,0.245813,0.255947,0.246918,0.254815,0.139429,21.87,159.49,43.81,43.54,44.08,43.58,44.04,43.63,43.99,0.35,C,0,0,0,0,0,0.0,0.0,74.75,10.9,53.39,96.11,中可信,A_确认影子,30.0,equasis_real
273279360,9281011.0,Ekspander,Russia,Pyay Shipping,2004.0,AFRAMAX TNKR,0000-00-00,Daewoo,South Korea,2,51056,137.8,3,高风险,True,False,True,True,1,Grey,Medium Performance,0.000155,5.4e-05,0.000256,6.1e-05,0.000227,7e-05,0.000197,13,6,3,109.6,0.1,0.944336,0.944302,0.942313,0.946291,0.942643,0.945981,0.94302,0.945622,20,1262.5,0.944354,0.055384,0.0974,0.846576,3.8e-05,0.0,0.0,3.8e-05,0.0,0.053881,0.051922,0.055839,0.052227,0.055514,0.052581,0.055142,0.029652,4.37,173.4,43.58,43.47,43.68,43.49,43.66,43.51,43.64,0.882,A,0,0,0,0,0,0.0,0.0,85.31,7.49,70.63,99.99,高可信,A_确认影子,42.0,equasis_real
750057000,9258870.0,Uma,Guyana,Salina Ship Management Pvt Ltd,2003.0,AFRAMAX TNKR,0000-00-00,Samsung,South Korea,2,36187,111.3,1,低风险,True,False,False,False,0,Not Listed,Not Listed,5.3e-05,0.0,0.000106,0.0,7.5e-05,0.0,4.5e-05,1,0,0,14.1,0.1,0.752812,0.752785,0.74834,0.757229,0.749063,0.756523,0.749893,0.755707,167,352.8,0.752833,0.062334,0.3844,0.689915,0.062859,0.0,2.575339,0.000937,0.014078,0.48219,0.477041,0.487338,0.477868,0.48651,0.478821,0.485556,0.327271,38.19,180.0,43.52,43.28,43.76,43.32,43.72,43.37,43.68,0.715,B,0,0,0,0,0,0.0,0.0,76.81,8.17,60.8,92.82,高可信,A_确认影子,27.0,equasis_real
750062000,,,,,,,,,,0,36671,104.8,0,未命中,False,False,False,False,0,Unknown,Unknown,8e-05,5e-06,0.000154,6e-06,0.000122,8e-06,9.1e-05,1,1,0,24.2,0.1,0.82752,0.815434,0.811464,0.819405,0.812112,0.818776,0.812856,0.81805,19,1350.8,0.81549,0.005288,0.4501,0.750367,0.046433,0.0769,3.06779,5.2e-05,0.0,0.326715,0.321915,0.331516,0.322681,0.330739,0.323565,0.329845,0.211992,27.26,161.37,43.23,43.01,43.45,43.05,43.41,43.09,43.37,0.703,B,0,0,0,0,0,0.0,0.0,53.04,3.6,45.98,60.1,高可信,B_潜在影子,39.0,simulated_noisy
314001114,9213313.0,Albedo,Barbados,Upgard Management Services,2001.0,AFRAMAX TNKR,0000-00-00,Hyundai Heavy Ind Ulsan Shipyard,South Korea,3,60111,166.6,1,低风险,False,False,True,False,1,White,Medium Performance,0.000182,7.9e-05,0.000285,8.7e-05,0.000257,9.8e-05,0.000229,42,9,2,114.4,0.1,0.92637,0.926342,0.924254,0.92843,0.924598,0.928103,0.924992,0.927724,106,679.1,0.926385,0.049521,0.7394,0.458557,3.2e-05,0.0,2.097962,3.2e-05,0.0,0.064646,0.06268,0.066612,0.062988,0.066287,0.063344,0.065916,0.028912,5.68,152.38,42.98,42.88,43.09,42.9,43.07,42.91,43.05,0.962,A,0,0,0,0,0,0.0,0.0,89.36,9.26,71.21,100.0,高可信,A_确认影子,41.0,equasis_real
273278070,9274616.0,Apeks,Russia,Undisclosed,2004.0,AFRAMAX TNKR,0000-00-00,Samsung,South Korea,2,142338,101.7,1,低风险,True,False,False,False,1,Grey,Medium Performance,6.3e-05,2.4e-05,0.000102,2.7e-05,9.1e-05,3e-05,7.9e-05,11,7,3,123.8,0.0,0.95392,0.949776,0.948642,0.950911,0.948828,0.950732,0.949041,0.950525,52,1323.0,0.949795,0.030539,0.3941,0.576218,0.009779,0.1192,1.869488,1.3e-05,0.0,0.00555,0.005164,0.005935,0.005222,0.005869,0.00529,0.005794,0.002002,0.56,127.99,42.85,42.81,42.9,42.82,42.89,42.82,42.88,0.782,B,0,0,0,0,0,0.0,0.0,84.45,5.83,73.02,95.88,高可信,A_确认影子,37.0,equasis_real
570314000,,,,,,,,,,0,56553,159.6,0,未命中,False,False,False,False,0,Unknown,Unknown,5.2e-05,3e-06,0.0001,4e-06,7.9e-05,5e-06,5.9e-05,1,1,1,158.4,0.1,0.855534,0.85551,0.852612,0.858407,0.853085,0.857949,0.853628,0.857419,26,1036.0,0.855549,0.035503,0.3695,0.829444,3.4e-05,0.0,0.0,3.4e-05,0.0,0.19212,0.188873,0.195367,0.189388,0.194839,0.189984,0.194232,0.10086,14.9,164.49,42.34,42.19,42.5,42.21,42.47,42.24,42.44,0.942,A,0,0,0,0,0,0.0,0.0,22.53,13.66,0.0,49.3,高可信,D_正常,8.0,simulated_noisy
314679000,9422988.0,Volans,Barbados,Jetee,2009.0,AFRAMAX TNKR,0000-00-00,Hyundai Heavy Ind Ulsan Shipyard,South Korea,1,38564,171.9,2,中风险,True,False,False,True,1,White,Medium Performance,0.000335,0.000159,0.000511,0.000175,0.000466,0.000194,0.000419,16,11,5,101.0,0.1,0.850819,0.850784,0.847229,0.85434,0.84781,0.853779,0.848479,0.85313,115,326.9,0.850841,0.057766,0.3239,0.610503,5e-05,0.0,2.267094,5e-05,0.0,0.180763,0.176922,0.184604,0.17753,0.183977,0.178233,0.183257,0.112124,14.92,175.05,41.91,41.72,42.1,41.75,42.07,41.79,42.03,0.91,A,0,0,0,0,0,0.0,0.0,79.56,2.63,74.41,84.71,高可信,A_确认影子,30.0,equasis_real
655990000,9233208.0,Faas,Malawi,Faas Shipping,2002.0,AFRAMAX TNKR,0000-00-00,Hyundai Samho Heavy Ind,South Korea,2,10557,180.6,1,低风险,True,False,False,False,0,Not Listed,Not Listed,0.002549,0.001605,0.003494,0.001707,0.003284,0.001834,0.003057,82,25,1,105.1,0.4,0.90916,0.909011,0.903528,0.914494,0.904453,0.913657,0.90551,0.912682,3,3939.4,0.909246,0.001034,0.7943,0.820663,0.000182,0.0,0.671186,0.000182,0.0,0.00255,0.001605,0.003495,0.001708,0.003285,0.001835,0.003058,0.00075,0.26,102.79,41.02,40.82,41.23,40.85,41.2,40.89,41.16,0.619,B,0,0,0,0,0,0.0,0.0,72.79,6.68,59.7,85.88,高可信,A_确认影子,30.0,equasis_real
631010090,9250531.0,Rozmarine,Equatorial Guinea,Adel Ship Management,2004.0,LR2 TNKR,0000-00-00,Hyundai Heavy Ind Ulsan Shipyard,South Korea,2,26093,108.1,3,高风险,True,False,True,True,0,Not Listed,Not Listed,0.00015,2.1e-05,0.000279,2.5e-05,0.000232,3.2e-05,0.000184,8,2,1,194.7,0.1,0.753344,0.722383,0.71695,0.727816,0.717833,0.726953,0.718848,0.725956,320,108.4,0.722444,0.077171,0.5188,0.660617,0.063261,0.1144,2.577637,7.4e-05,0.0,0.419154,0.413167,0.425141,0.414126,0.424175,0.415231,0.423063,0.231631,32.14,167.15,40.89,40.61,41.18,40.65,41.13,40.71,41.08,0.593,B,0,0,0,0,0,0.0,0.0,68.29,2.35,63.68,72.9,高可信,A_确认影子,30.0,equasis_real
