mmsi,msf,dsr,vrs,sbi,aii
629009826,88.4,0.2,1.0,1.0,0.04
273277060,88.3,0.6279,70.7,31.8,0.14
352898728,88.2,0.1,0.1,15.2,0.0
613223700,86.8,0.3864,9.1,7.0,0.08
636015526,86.5,0.3523,21.5,6.4,0.16
352005520,86.0,0.5775,54.6,15.7,0.32
461000320,85.5,0.5526,49.7,13.3,0.18
273276660,85.2,0.7619,70.9,88.0,0.54
538008327,85.2,0.2449,34.7,5.6,0.4
533133214,85.2,0.0312,6.1,6.2,0.04
613321501,85.0,0.439,19.6,15.1,0.03
352004905,84.9,0.4583,41.6,9.9,0.04
632001090,84.7,0.3788,41.7,4.6,0.1
352005437,84.5,0.6364,48.5,15.8,0.47
477215100,83.7,0.7105,59.6,22.4,0.23
461000219,83.5,0.2381,41.7,13.9,0.11
613442258,83.5,1.0,25.7,13.4,0.72
352002786,83.2,0.6322,50.6,9.6,0.34
314679000,82.7,0.0571,2.1,19.7,0.05
631010073,82.6,0.6,48.5,17.9,0.51
613003573,82.5,0.5882,61.1,20.3,0.19
306884000,81.7,0.025,28.2,4.6,0.04
352005425,81.2,0.5577,59.3,14.1,0.11
273264760,81.0,0.45,22.0,7.8,0.21
311046300,80.9,0.2239,85.1,9.0,0.73
311000224,80.9,0.122,35.1,5.9,0.07
538003526,80.0,0.3976,80.6,11.1,0.44
538011948,79.9,0.0714,29.2,4.5,0.02
215497000,79.9,0.6235,87.3,7.4,0.63
636022406,79.7,0.2658,28.4,15.1,0.15
273277840,79.4,0.5833,48.5,17.7,0.33
461000255,79.4,0.4179,70.3,16.3,0.44
370455000,78.9,0.2444,57.9,1.3,0.15
613829601,78.4,0.5714,61.0,16.3,0.17
667001798,78.2,0.6042,48.3,15.1,0.23
240657000,77.9,0.4388,59.5,11.3,0.44
613489900,77.9,0.7143,16.8,6.1,0.36
314102000,77.7,0.3333,59.0,2.3,0.11
306689000,77.5,0.0,35.6,35.8,0.0
525119160,77.2,0.0,45.9,6.1,0.0
525008061,76.6,0.075,11.0,29.8,0.04
538004508,76.4,0.4382,15.7,8.4,0.29
413280000,75.9,0.075,19.6,11.6,0.01
613407803,75.4,0.25,3.9,8.5,0.0
636024970,75.3,0.3721,50.6,6.6,0.22
667001611,75.2,0.56,59.2,34.7,0.13
622108300,75.2,0.0566,4.6,11.4,0.01
667002072,75.1,0.2843,48.6,11.6,0.3
215401000,75.1,0.6923,33.8,11.2,0.15
311013400,74.7,0.7188,44.1,10.3,0.4
667001672,74.5,0.2083,50.1,22.5,0.18
622120921,74.5,0.0727,4.1,12.1,0.02
235076272,74.2,0.2679,33.0,8.1,0.35
235076283,74.1,0.4397,34.1,9.7,0.7
477192100,73.6,0.8,76.9,5.2,2.7
750931000,73.4,0.3939,26.3,57.3,2.07
667001617,73.3,0.4231,44.3,5.1,0.07
273258030,73.2,0.7241,71.5,11.8,0.29
248884000,73.2,0.3545,43.5,21.6,0.28
613702110,72.9,0.3696,59.3,15.2,0.09
636013683,72.6,0.2841,75.7,6.7,0.14
636011267,72.6,0.25,7.0,6.5,0.09
376989000,72.5,0.5556,9.1,11.4,0.33
352005238,72.4,0.6145,56.6,15.8,0.29
525108035,72.1,0.0714,13.4,18.5,0.06
636022972,72.1,0.4302,43.8,5.0,0.23
622120925,71.7,0.0694,4.0,5.7,0.03
273251530,71.7,0.3871,59.5,21.5,0.05
273270180,71.2,0.3043,30.5,58.4,0.22
352002775,71.2,0.4946,54.6,21.7,0.49
538012620,71.1,0.4857,96.4,21.5,1.51
622120926,70.6,0.0686,4.0,11.9,0.03
636017134,70.6,0.5714,59.5,10.8,0.14
667002026,70.3,0.6,60.7,15.4,0.45
351206000,70.1,0.0909,81.9,14.7,0.0
352002063,70.1,0.6721,58.8,7.5,0.26
273275850,70.1,0.2424,9.6,19.9,0.23
632001123,70.1,0.1343,6.4,11.1,0.06
667002520,70.1,0.6098,41.6,13.1,0.15
273273360,69.5,0.36,13.1,8.5,0.1
574004420,69.3,0.6809,70.9,8.8,0.3
667002284,69.3,0.4324,58.8,19.8,0.1
667002211,69.2,0.3281,49.2,37.8,0.16
613411302,69.1,0.5957,59.1,21.5,0.18
248964000,69.1,0.5963,42.7,3.5,0.55
538007646,68.9,0.6154,21.9,8.7,0.44
255915925,68.8,0.5169,56.8,4.7,0.44
667002544,68.8,0.0833,38.5,5.8,0.05
370309000,68.6,0.2414,81.3,18.6,0.12
341386002,68.6,0.1304,52.0,9.0,0.0
419471000,68.5,0.1727,16.9,4.9,0.12
613471602,68.1,0.7761,61.1,14.4,0.52
352002243,68.1,0.6885,59.0,10.0,0.55
636023696,68.0,0.5938,59.2,9.4,0.19
357044000,67.9,0.4194,5.1,10.6,0.59
533133106,67.6,0.3441,12.1,10.8,0.61
667001281,67.4,0.5149,49.5,7.5,0.36
273278850,67.4,0.4038,21.9,7.0,0.09
613003591,67.4,0.0588,41.4,14.0,0.01
249747000,67.0,0.6818,47.7,12.3,0.42
314001114,67.0,0.0211,16.4,28.8,0.0
461000330,66.9,0.6449,25.7,6.7,0.72
613322700,66.9,0.5676,41.9,10.6,0.4
667002409,66.9,0.3846,40.4,16.3,0.02
667002086,66.8,0.4444,24.5,13.4,0.12
419758000,66.6,0.35,40.7,6.8,0.2
667002321,66.0,0.2778,59.2,15.3,0.14
240891000,65.9,0.6064,28.8,14.4,0.68
538012016,65.8,0.2952,59.1,9.3,0.26
613469620,65.5,0.2086,54.6,22.5,0.22
679881009,65.4,0.1875,37.0,34.4,0.02
613902604,65.4,0.549,41.7,12.1,0.14
632001154,65.4,0.6279,47.3,14.5,0.25
636021867,65.4,0.4722,59.7,9.1,0.19
636014378,65.4,0.619,39.7,6.1,0.41
667002021,65.3,0.3462,60.3,27.4,0.03
613503100,65.3,0.5545,9.9,8.4,0.31
667002283,65.1,0.3012,70.6,10.3,0.14
636016275,64.9,0.7419,43.2,4.3,0.77
413770000,64.6,0.2162,94.2,11.1,0.06
667001258,64.4,0.4653,59.1,11.8,0.45
525119057,64.4,0.2254,10.1,2.1,0.11
419472000,63.9,0.0943,9.8,1.7,0.07
636019903,63.9,0.4154,54.7,10.7,0.29
273273160,63.5,0.7143,71.2,32.5,0.49
679881010,63.3,0.0,16.4,4.1,0.0
354290000,63.1,0.7609,59.6,7.1,0.25
525119203,62.9,0.04,13.4,32.7,0.0
273273460,62.9,0.0769,41.7,21.7,0.01
461000370,62.9,0.6778,49.3,16.8,0.69
538003322,62.8,0.4557,102.3,7.0,0.33
563216500,62.7,0.4667,87.8,5.3,0.09
538012456,62.1,0.6667,34.6,40.0,0.32
677066300,62.0,0.1058,37.0,1.7,0.09
538012308,61.9,0.3088,23.7,2.8,0.47
525119111,61.9,0.1111,11.4,17.1,0.14
613271403,61.8,0.7981,55.4,24.6,0.55
511100461,61.1,0.0194,8.8,9.9,0.01
419797000,60.9,0.3023,25.4,16.2,0.18
632001131,60.8,0.4857,38.7,10.5,2.2
636016093,60.7,0.488,27.4,3.8,0.4
632001132,60.5,0.375,37.3,21.6,0.11
314001157,60.4,0.6098,9.0,9.8,0.38
461000285,60.2,0.3058,59.2,19.3,0.2
240565000,60.1,0.7143,35.5,20.6,0.35
463047101,60.0,0.2947,27.2,19.3,1.25
667001237,59.8,0.4783,48.3,4.4,0.63
314105000,59.7,0.3125,38.1,2.5,0.1
620999912,59.5,0.411,40.9,25.3,0.72
667002024,59.5,0.4842,59.3,4.4,0.29
613411510,59.3,0.2667,32.2,16.6,0.27
667001949,59.3,0.381,29.6,12.3,0.37
525121004,59.0,0.0682,13.3,30.4,0.07
631010102,59.0,0.5745,59.3,20.3,0.25
667002022,58.6,0.5833,41.6,8.8,0.12
525008066,58.1,0.1781,13.1,17.1,0.13
241367000,58.0,0.3478,44.6,8.6,0.09
311000460,57.9,0.4267,60.3,4.0,0.36
570299000,57.6,0.0513,37.1,5.2,0.02
273272770,57.5,0.35,30.5,26.7,0.03
352002521,57.4,0.4937,59.1,5.5,0.33
613447803,57.4,0.0,33.6,104.6,0.0
511101917,57.3,0.1164,30.8,2.8,0.11
667001290,56.8,0.4667,49.3,17.6,0.29
210241000,56.8,0.2887,12.1,13.7,0.37
352314000,56.7,0.0444,7.0,66.1,0.0
